ID,depth,age,Abiskomyia,Ablabesmyia,Acamptocladius,Apedilum spp.,Brillia,Cardiocladius spp.,Chaetocladius spp.,Chironomus spp.,Cladopelma spp.,Cladotanytarsus spp.,Constempellina,Corynocera ambigua-type,Corynocera oliveri-type,Corynoneura Thienemanniella spp.,Cricotopus Orthocladius spp.,Cryptochironomus,Cryptotendipes,Cyphomella Harnischia Paracladopelma spp.,Derotanypus,Diamesa spp.,Dicrotendipes spp.,Doithrix Pseudorthocladius spp.,Einfeldia spp.,Endochironomus spp.,Eukieffferiella Tvetenia spp.,Georthocladius spp,Glyptotendipes spp.,Heterotanytarsus,Heterotrissocladius spp,Hydrobaenus Oliveridia spp.,Labrundinia,Lasiodiamesa,Lauterborniella Zavreliella spp.,Limnophyes Paralimnophyes,Mesocricotopus,Metriocnemus spp.,Micropsectra spp.,Microtendipes spp.,Monodiamesa,Nanocladius spp.,Nilothauma,Omisus,Pagastiella,Parachironomus spp.,Paracladius,Paracricotopus,Parakiefferiella spp.,Paralauterborniella spp.,Parametriocnemus,Parasmittia,Paratendipes spp.,Pentaneurini other,Phaenopsectra spp.,Polypedilum spp.,Potthastia spp.,Procladius,Protanytpus ,Psectrocladius Allopsectrocladius Mesopsectrocladius spp.,Psectrocladius Monopsectrocladius,Psectrocladius Psectrocladius spp.,Pseudochironomus,Pseudosmittia Smittia spp.,Pseudodiamesa,Rheocricotopus spp.,Sergentia spp.,Stempellina,Stempellinella Zavrelia spp,Stictochironomus spp.,Symposiocladius lignicola,Synorthocladius,Tanypus,Tanytarsina other,Thienemannimyia type,Tribelos,Xenochironomus,Zalutschia spp.,Zalutschia zalutschicola,Zavrelimyia type
1,3,0.0050471,1.69492,0,0,0,0,0,0,10.1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2881,0,0,3.38983,0,0,0,0,0,0,0,11.8644,0,0
2,4,0.010156,6.89655,0,0,0,0,0,0,3.44828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44828,0,0,0,0,0,0,0,31.0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7586,0,0,0,0,0,0,6.89655,0,0,0,15.5172,0,0
3,6,0.0172496,8.13953,0,0,0,0,0,0,3.48837,0,0,0,0,2.32558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97674,0,0,0,0,0,0,0,31.3953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32558,0,0,0,0,23.2558,0,0,0,0,0,0,11.6279,0,0,0,10.4651,0,0
4,7,0.0199965,10.6667,0,0,0,0,0,0,2.66667,0,0,0,0,0,0,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66667,0,0,0,0,0,0,0,37.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5.33333,0,0,0,10.6667,0,0,0,9.33333,0,0
5,9,0.0285222,16.4835,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1978,0,0,0,0,0,0,0,39.5604,0,0,0,0,0,0,0,0,0,0,2.1978,0,0,0,1.0989,0,0,0,0,17.5824,0,0,0,0,0,0,7.69231,0,0,0,9.89011,0,0
6,10,0.0433,16.3265,0,0,0,0,0,0,2.04082,0,0,0,0,0,0,1.02041,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02041,0,0,0,0,0,0,0,6.12245,0,0,0,0,0,0,0,38.7755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04082,0,0,17.3469,0,0,0,0,0,0,5.10204,0,0,0,10.2041,0,0
7,11,0.0508327,13.8462,0,0,0,0,0,0,1.53846,0,0,0,0,1.53846,4.61538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8462,0,0,0,0,0,0,0,0,0,0,0,0.769231,0,0,0,0,0,0,0,14.6154,0,0,0,0,0,0,3.07692,0,0,0,16.1538,0,0
8,12,0.0583674,25,0,0,0,0,0,0,4.16667,0,0,0,0,0,0,2.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,17.7083,0,0,0,0,0,0,3.125,0,0,0,5.20833,0,0
9,13,0.0659021,20.6897,0,0,0,0,0,0,4.13793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75862,0,0,0,0,0,0,0,28.9655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82759,0,0,22.069,0,0,0,0,0,0,5.51724,0,0,0,11.0345,0,0
10,14,0.0730976,23.1405,0,0,0,0,0,0,0.826446,0,0,0,0,1.65289,0.826446,0.826446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3719,0,0,0,0,0,0,0,29.7521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413223,0,0.413223,0,0,18.1818,0,0,0,0,0,0,9.91736,0,0,0,8.67769,0,0
11,15,0.0802915,25.2336,0,0,0,0,0,0,0,0,0,0,0,3.73832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86916,0,0,0,0,0,0,0,37.3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934579,0,0,22.4299,0,0,0,0,0,0,1.86916,0,0,0,6.54206,0,0
12,16,0.0896624,23.4615,0,0,0,0,0,0,0.769231,0,0,0,0,0.769231,0,0.769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53846,0,0,0,0,0,0,0,29.2308,0,0.769231,0,0,0,0,0,0,0,0,0,0,0,0,1.92308,0,1.15385,0,0,18.8462,0,0,0.769231,0,0,0,6.15385,0,0,0,8.07692,0,0
13,17,0.0990313,23.8938,0,0,0,0,0,0,0,0,0,0,0,1.76991,0,1.76991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53982,0,0,0,0,0,0,0,36.2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884956,0,0,21.2389,0,0,0,0,0,0,5.30973,0,0,0,5.30973,0,0
14,18,0.112918,24.2798,0,0,0,0,0,0,1.64609,0,0,0,0,2.46914,0,1.23457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23045,0,0,0,0,0,0,0,26.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222,0,0,1.64609,0,0,0,3.29218,0,0,0,8.23045,0,0
15,19,0.126804,22.439,0,0,0,0,0,0,2.92683,0,0,0,0,1.95122,0,2.43902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85366,0,0,0,0,0,0,0,31.2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487805,0,0,20.4878,0,0,0,0,0,0,5.85366,0,0,0,6.34146,0,0
16,20,0.14497,28.125,0,0,0,0,0,0,1.5625,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,28.9063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,8.59375,0,0,0,7.8125,0,0
17,30,0.52411,21.7391,0,0,0,0,0,0,6.52174,0,0,0,0,0,0,1.08696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69565,0,0,0,0,0,0,0,32.6087,0,1.08696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08696,0,0,17.3913,0,0,2.17391,0,0,0,0,0,0,0,7.6087,0,0
18,35,0.724635,28.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6449,0,0,5.60748,0,0,0,2.80374,0,0,0,5.60748,0,0
19,40,0.90089,10.7692,0,0,0,0,0,0,6.15385,0,0,0,0,0,0,3.07692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6154,0,0,0,0,0,0,0,0,0,0,0,3.07692,0,0,0,0,0,0,0,12.3077,0,0,9.23077,0,0,0,6.15385,0,0,0,1.53846,0,0
20,45,1.02059,10,0,0,0,0,0,0,4.21053,0,0,0,0,0,0,2.63158,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31579,0,0,0,0,0,0,0,6.31579,0,0,0,0,0,0,0,23.6842,0,0,0,0,0,0,0,0,0,0,1.05263,0,0,0,1.05263,0,0,0,0,22.6316,0,0,1.05263,0,0,0,10,0,0,0,11.0526,0,0
21,50,1.14028,3.40909,0,0,0,0,0,0,13.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40909,0,0,0,0,0,0,2.27273,2.27273,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27273,0,0,0,0,30.6818,0,0,4.54545,0,0,0,9.09091,0,0,0,3.40909,0,0
22,55,1.26,0.869565,0,0,0,0,0,0,5.21739,0,0,0,0,5.21739,0,3.47826,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6087,0,0,0,0,0,0,0,3.47826,0,0,0,0,0,0,0,25.2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6087,0,0,0,0,15.6522,0,0,15.6522,0,0,0,12.1739,0,0,0,4.34783,0,0
