Lake,Cond,pH,Depth,DOC,TP,Cl,SIO2,SO4,Ca,Fe,K,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Man_temp,Summer
BC01,5,6.58,11.3,0.5,7,0.4,0.04,0.5,0.17,0.02,0.09,-33.7,-35.3,-33.4,-25.8,-12.5,-1.2,3.3,1.2,-5.6,-16.2,-26.3,-31,-18.04166667,1.1
BC02,7,6.05,3,0.6,8,0.6,0.59,0.6,0.23,0.27,0.16,-33.7,-35.3,-33.4,-25.8,-12.5,-1.2,3.3,1.2,-5.6,-16.2,-26.3,-31,-18.04166667,1.1
BC03,12,6.34,2,1,5,1.1,0.15,0.9,0.36,0.02,0.16,-33.8,-35.5,-33.5,-26,-12.7,-1.3,3.1,1,-5.7,-16.4,-26.5,-31.1,-18.2,0.933333333
CI20 ,50,8.23,9,0.25,2.5,1.02,0.12,1.32,13.4,0.04,0.1,-33.9,-35.4,-33.5,-25.7,-12.2,-1.3,3.1,0.9,-7,-17.7,-26.9,-31.4,-18.41666667,0.9
CI26,10,7.37,6,0.25,2.5,0.05,0,0.05,0.23,0.13,0.02,-33.7,-35.1,-33,-25.2,-11.9,-1.1,3.5,1.3,-6.3,-16.8,-26.3,-31.1,-17.975,1.233333333
Coal,1003.6,8.3,1.4,10.56,9.8,113.5,0.8,25.54,45.2,0.16,9.74,-36.7,-38.5,-37.4,-28.3,-11.7,1,4.7,2.2,-8.6,-22.3,-31.9,-34.5,-20.16666667,2.633333333
CV01,220,7.77,7.61,4.2,11,1.6,0.86,43,30,0,1.43,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,1.4
CV02,190,7.74,3.2,1.4,2.5,0.6,0.54,45,24,0,0.52,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,1.4
CV03,199,8.12,3.9,3.9,11,1.1,0.62,49,27,0,1.43,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,1.4
CV04,260,8.16,3.77,3.6,10,1.2,0.73,75,35,0.01,1.76,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,1.4
